SAMPLE,LAYER,D13C,STDC,D18O,STDO,SAMP_HEIGHT,BIOSAMPLE,BIOHEIGHT,FIRST_OCCURRENCE
VS3-4.17,40,2.887248063,0.09859438,-6.568649516,0.145348522,21.07,,,
VS3-4.40,40,3.252149707,0.069675699,-5.985228257,0.136720246,21.3,,,
VS3-4.70,41,3.388616988,0.062513999,-4.008228769,0.193306022,21.6,,,
VS3-4.75,41,3.84445041,0.092280877,-9.298271855,0.116368437,21.65,,,
VS3-5.07,42,3.772629471,0.067789384,-8.112705772,0.361576726,21.97,,,
VS3-5.38,42,3.938548946,0.059900828,-6.684040845,0.097021692,22.28,,,
VS3-5.43,42,3.946239088,0.063638486,-5.579211515,0.17324543,22.33,,,
VS3-5.61,42,4.055084618,0.05306805,-4.575228584,0.18444734,22.51,,,
VS3-6.19,42,4.059209452,0.083674773,-6.518235084,0.17516438,23.09,,,
VS3-6.43,42,NaN,NaN,NaN,NaN,23.33,,,
VS3-6.85,42,4.050801904,0.052817942,-4.273475433,0.135197093,23.75,,,
VS3-7.25,42,4.205146492,0.069046738,-3.490382302,0.196264433,24.15,,,
VS3-7.80,42,3.871917155,0.088782575,-6.352536257,0.219003397,24.5,,,
VS3-8.05,42,NaN,NaN,NaN,NaN,24.95,,,
VS3-8.18,42,3.694374945,0.050051303,-8.166188843,0.402961331,25.08,,,
VS3-8.75,42,3.97115569,0.060544655,-6.594705044,0.225950877,25.65,,,
VS3-9.25,42,4.072105669,0.043871122,-6.313340018,0.153813165,26.15,,,
VS3-9.47,42,3.947755224,0.073551073,-6.569561676,0.195551763,26.37,,,
VS3-9.87,42,3.13930624,0.075324743,-8.904175399,0.123598773,26.77,,,
VS4-4.50,6,3.063032625,0.071937365,-14.30501068,0.119509364,26.82,,,
VS4-4.77,7,2.692203585,0.083586358,-15.50572411,0.208459186,27.09,,,
VS4-4.95,8,3.16696831,0.069270164,-13.84118817,0.224232075,27.27,,,
